City,Code,Type,Line,Station
5810,0001,地铁,1号线,
5810,00010001,地铁,1号线,西塱
5810,00010002,地铁,1号线,坑口
5810,00010003,地铁,1号线,花地湾
5810,00010004,地铁,1号线,芳村
5810,00010005,地铁,1号线,黄沙
5810,00010006,地铁,1号线,长寿路
5810,00010007,地铁,1号线,陈家祠
5810,00010008,地铁,1号线,西门口
5810,00010009,地铁,1号线,公园前
5810,00010010,地铁,1号线,农讲所
5810,00010011,地铁,1号线,烈士陵园
5810,00010012,地铁,1号线,东山口
5810,00010013,地铁,1号线,杨箕
5810,00010014,地铁,1号线,体育西路
5810,00010015,地铁,1号线,体育中心
5810,00010016,地铁,1号线,广州东站
5810,0002,地铁,2号线,
5810,00020009,地铁,2号线,江南西
5810,00020010,地铁,2号线,市二宫
5810,00020011,地铁,2号线,海珠广场
5810,00020012,地铁,2号线,公园前
5810,00020013,地铁,2号线,纪念堂
5810,00020014,地铁,2号线,越秀公园
5810,00020015,地铁,2号线,广州火车站
5810,00020016,地铁,2号线,三元里
5810,00020017,地铁,2号线,飞翔公园
5810,00020018,地铁,2号线,白云公园
5810,00020019,地铁,2号线,白云文化广场
5810,00020020,地铁,2号线,萧岗
5810,00020021,地铁,2号线,江夏
5810,00020022,地铁,2号线,黄边
5810,00020023,地铁,2号线,嘉禾望岗
5810,00020041,地铁,2号线,昌岗
5810,00020042,地铁,2号线,江泰路
5810,00020043,地铁,2号线,东晓南
5810,00020044,地铁,2号线,南洲
5810,00020045,地铁,2号线,洛溪
5810,00020046,地铁,2号线,南浦
5810,00020047,地铁,2号线,会江
5810,00020048,地铁,2号线,石壁
5810,00020049,地铁,2号线,广州南站
5810,0030,地铁,3号线,
5810,00300001,地铁,3号线,机场北
5810,00300002,地铁,3号线,机场南
5810,00300003,地铁,3号线,高增
5810,00300004,地铁,3号线,人和
5810,00300005,地铁,3号线,龙归
5810,00300006,地铁,3号线,白云大道北
5810,00300007,地铁,3号线,永泰
5810,00300008,地铁,3号线,同和
5810,00300009,地铁,3号线,京溪南方医院
5810,00300010,地铁,3号线,梅花园
5810,00300011,地铁,3号线,燕塘
5810,0003,地铁,3号线,
5810,00030001,地铁,3号线,广州东站
5810,00030002,地铁,3号线,林和西
5810,00030003,地铁,3号线,体育西路
5810,00030004,地铁,3号线,珠江新城
5810,00030005,地铁,3号线,广州塔
5810,00030006,地铁,3号线,客村
5810,00030007,地铁,3号线,大塘
5810,00030008,地铁,3号线,沥滘
5810,00030009,地铁,3号线,厦滘
5810,00030010,地铁,3号线,大石
5810,00030011,地铁,3号线,汉溪长隆
5810,00030012,地铁,3号线,市桥
5810,00030013,地铁,3号线,番禺广场
5810,00030014,地铁,3号线,天河客运站
5810,00030015,地铁,3号线,五山
5810,00030016,地铁,3号线,华师
5810,00030017,地铁,3号线,岗顶
5810,00030018,地铁,3号线,石牌桥
5810,0004,地铁,4号线,
5810,00040005,地铁,4号线,黄村
5810,00040006,地铁,4号线,车陂
5810,00040007,地铁,4号线,车陂南
5810,00040008,地铁,4号线,万胜围
5810,00040009,地铁,4号线,官洲
5810,00040010,地铁,4号线,大学城北
5810,00040011,地铁,4号线,大学城南
5810,00040012,地铁,4号线,新造
5810,00040013,地铁,4号线,石碁
5810,00040014,地铁,4号线,海傍
5810,00040015,地铁,4号线,低涌
5810,00040016,地铁,4号线,东涌
5810,00040027,地铁,4号线,庆盛
5810,00040017,地铁,4号线,黄阁汽车城
5810,00040018,地铁,4号线,黄阁
5810,00040019,地铁,4号线,蕉门
5810,00040020,地铁,4号线,金洲
5810,00040021,地铁,4号线,飞沙角
5810,00040022,地铁,4号线,广隆
5810,00040023,地铁,4号线,大涌
5810,00040024,地铁,4号线,塘坑
5810,00040025,地铁,4号线,南横
5810,00040026,地铁,4号线,南沙客运港
5810,0005,地铁,5号线,
5810,00050001,地铁,5号线,滘口
5810,00050002,地铁,5号线,坦尾
5810,00050003,地铁,5号线,中山八
5810,00050004,地铁,5号线,西场
5810,00050005,地铁,5号线,西村
5810,00050006,地铁,5号线,广州火车站
5810,00050007,地铁,5号线,小北
5810,00050008,地铁,5号线,淘金
5810,00050009,地铁,5号线,区庄
5810,00050010,地铁,5号线,动物园
5810,00050011,地铁,5号线,杨箕
5810,00050012,地铁,5号线,五羊邨
5810,00050013,地铁,5号线,珠江新城
5810,00050014,地铁,5号线,猎德
5810,00050015,地铁,5号线,潭村
5810,00050016,地铁,5号线,员村
