City,Code,Type,Line,Station
3930,01,地铁,1号线,
3930,0101,地铁,1号线,镇海路
3930,0102,地铁,1号线,中山公园
3930,0103,地铁,1号线,将军祠
3930,0104,地铁,1号线,文灶
3930,0105,地铁,1号线,湖滨东路
3930,0106,地铁,1号线,莲坂
3930,0107,地铁,1号线,莲花路口
3930,0108,地铁,1号线,吕厝
3930,0109,地铁,1号线,乌石浦
3930,0110,地铁,1号线,塘边
3930,0111,地铁,1号线,火炬园
3930,0112,地铁,1号线,殿前
3930,0113,地铁,1号线,高崎
3930,0114,地铁,1号线,集美学村
3930,0115,地铁,1号线,园博苑
3930,0116,地铁,1号线,杏林村
3930,0117,地铁,1号线,杏锦路
3930,0118,地铁,1号线,官任
3930,0119,地铁,1号线,诚毅广场
3930,0120,地铁,1号线,集美软件园
3930,0121,地铁,1号线,集美大道
3930,0122,地铁,1号线,天水路
3930,0123,地铁,1号线,厦门北站
3930,0124,地铁,1号线,岩内
3930,02,地铁,2号线,
3930,0201,地铁,2号线,天竺山
3930,0202,地铁,2号线,东孚
3930,0203,地铁,2号线,东瑶
3930,0204,地铁,2号线,鼎美
3930,0205,地铁,2号线,马銮中心
3930,0206,地铁,2号线,新阳大道
3930,0207,地铁,2号线,新垵
3930,0208,地铁,2号线,翁角路
3930,0209,地铁,2号线,马青路
3930,0210,地铁,2号线,海沧行政中心
3930,0211,地铁,2号线,海沧商务中心
3930,0212,地铁,2号线,海沧湾公园
3930,0213,地铁,2号线,邮轮中心
3930,0214,地铁,2号线,建业路
3930,0215,地铁,2号线,湖滨中路
3930,0216,地铁,2号线,体育中心
3930,0217,地铁,2号线,育秀东路
3930,0218,地铁,2号线,吕厝
3930,0219,地铁,2号线,江头
3930,0220,地铁,2号线,后埔
3930,0221,地铁,2号线,蔡塘
3930,0222,地铁,2号线,古地石
3930,0223,地铁,2号线,岭兜
3930,0224,地铁,2号线,软件园二期
3930,0225,地铁,2号线,何厝
3930,0226,地铁,2号线,观音山
3930,0227,地铁,2号线,东宅
3930,0228,地铁,2号线,两岸金融中心
3930,0229,地铁,2号线,五通
3930,0230,地铁,2号线,湿地公园
3930,0231,地铁,2号线,钟宅
3930,0232,地铁,2号线,五缘湾
3930,0301,地铁,3号线,厦门火车站
3930,0302,地铁,3号线,湖滨东路
3930,0303,地铁,3号线,体育中心
3930,0304,地铁,3号线,人才中心
3930,0305,地铁,3号线,湖里公园
3930,0306,地铁,3号线,华荣路
3930,0307,地铁,3号线,火炬园
3930,0308,地铁,3号线,小东山
3930,0309,地铁,3号线,安兜
3930,0310,地铁,3号线,坂尚
3930,0311,地铁,3号线,湖里创新园
3930,0312,地铁,3号线,五缘湾
3930,0313,地铁,3号线,体育会展中心
3930,0314,地铁,3号线,东界
3930,0315,地铁,3号线,洪坑
3930,0316,地铁,3号线,林前
3930,0317,地铁,3号线,鼓锣
3930,0318,地铁,3号线,翔安市民公园
3930,0319,地铁,3号线,浦边
3930,0320,地铁,3号线,后村
3930,0321,地铁,3号线,蔡厝
3930,2101,BRT,,第一码头
3930,2102,BRT,,开禾路口
3930,2103,BRT,,思北
3930,2104,BRT,,斗西路
3930,2105,BRT,,二市
3930,2106,BRT,,文灶
3930,2107,BRT,,金榜公园
3930,2108,BRT,,火车站
3930,2109,BRT,,莲坂
3930,2110,BRT,,龙山桥
3930,2111,BRT,,卧龙晓城
3930,2112,BRT,,东芳山庄
3930,2113,BRT,,洪文
3930,2114,BRT,,前埔枢纽站
3930,2115,BRT,,蔡塘
3930,2116,BRT,,金山
3930,2117,BRT,,市行政服务中心
3930,2118,BRT,,双十中学
3930,2119,BRT,,县后
3930,2120,BRT,,高崎机场站
3930,2121,BRT,,T4候机楼
3930,2122,BRT,,嘉庚体育馆
3930,2123,BRT,,诚毅学院
3930,2124,BRT,,华侨大学
3930,2125,BRT,,产业研究院
3930,2126,BRT,,大学城
3930,2127,BRT,,中科院
3930,2128,BRT,,东宅
3930,2129,BRT,,田厝
3930,2130,BRT,,厦门北站
3930,2131,BRT,,凤林
3930,2132,BRT,,东安
3930,2133,BRT,,后田
3930,2134,BRT,,东亭
3930,2135,BRT,,美峰
3930,2136,BRT,,蔡店
3930,2137,BRT,,潘涂
3930,2138,BRT,,滨海新城(西柯)枢纽站
3930,2139,BRT,,官浔
3930,2140,BRT,,轻工食品园
3930,2141,BRT,,四口圳
3930,2142,BRT,,工业集中区
3930,2143,BRT,,第三医院
3930,2144,BRT,,城南
3930,2145,BRT,,同安枢纽站
3930,21,BRT,,
3930,2121,BRT,,第一码头
3930,2122,BRT,,开禾路口
3930,2123,BRT,,思北
3930,2124,BRT,,斗西路
3930,2125,BRT,,二市
3930,2126,BRT,,金榜公园
3930,2127,BRT,,火车站
3930,2145,BRT,,厦门北站
3930,2149,BRT,,文灶
3930,0001,BRT,,
3930,00010021,BRT,,第一码头
3930,00010022,BRT,,开禾路口
3930,00010023,BRT,,思北
3930,00010024,BRT,,斗西路
3930,00010025,BRT,,二市
3930,00010026,BRT,,金榜公园
3930,00010027,BRT,,火车站
3930,00010045,BRT,,厦门北站
3930,00010049,BRT,,文灶
